iter	Logloss
0	0.6126870743
1	0.5411132562
2	0.4795855672
3	0.4271032755
4	0.3829609539
5	0.3469146982
6	0.3146745367
7	0.2881086234
8	0.2635823057
9	0.2440154793
10	0.2250818767
11	0.210088921
12	0.1968509882
13	0.1860891971
14	0.1763410157
15	0.1681136115
16	0.160056466
17	0.1542794151
18	0.1493247953
19	0.1451111215
20	0.1400346848
21	0.136041102
22	0.1326147834
23	0.1299087382
24	0.1269961482
25	0.1241918789
26	0.1221778314
27	0.1205943601
28	0.118868814
29	0.1172528938
30	0.1158408184
31	0.1144069013
32	0.1130619272
33	0.1117885188
34	0.1106970884
35	0.1095589759
36	0.1084968139
37	0.1075801475
38	0.1068987678
39	0.1062209126
40	0.1056427195
41	0.1050467028
42	0.1046259156
43	0.1040567281
44	0.1035631552
45	0.1030371282
46	0.1025738904
47	0.1020682385
48	0.1016219528
49	0.1011255555
50	0.1006747911
51	0.1002446287
52	0.09983638231
53	0.09956155086
54	0.09930310229
55	0.0989017494
56	0.09869546695
57	0.09841454176
58	0.09811832544
59	0.09791694278
60	0.09756193552
61	0.09733571501
62	0.0971374348
63	0.09686079905
64	0.09667898159
65	0.09644782769
66	0.09617854758
67	0.095889245
68	0.09570346236
69	0.09544379799
70	0.09527575892
71	0.09502314656
72	0.09480669649
73	0.09466102665
74	0.09449267313
75	0.09433767316
76	0.09418373247
77	0.09402448945
78	0.09386844163
79	0.09373135424
80	0.09355811119
81	0.09338298599
82	0.09322943197
83	0.093084791
84	0.09290831563
85	0.09273854859
86	0.0925804616
87	0.09243175493
88	0.09231759998
89	0.09213958664
90	0.09200290509
91	0.09187926128
92	0.09167104853
93	0.09151146334
94	0.09142643644
95	0.0913272471
96	0.09123748537
97	0.09111497701
98	0.09100168282
99	0.09085923688
100	0.09073254818
101	0.09062683165
102	0.09049507238
103	0.09040328096
104	0.09026944996
105	0.09016464871
106	0.09001876041
107	0.08993815716
108	0.08985576746
109	0.08976548374
110	0.08964179953
111	0.08955161263
112	0.0893539421
113	0.08926445971
114	0.08912396274
115	0.08899757197
116	0.08891629815
117	0.08882684497
118	0.08865027474
119	0.08852538611
120	0.08834726116
121	0.08820139816
122	0.08807630011
123	0.08794753056
124	0.08788127887
125	0.08779182978
126	0.08765756208
127	0.08749520346
128	0.08741568201
129	0.08729551704
130	0.08718908357
131	0.08708559063
132	0.08696355874
133	0.08690102075
134	0.08682525599
135	0.0867039704
136	0.08659497272
137	0.08651850882
138	0.08637338298
139	0.08630557603
140	0.08622309391
141	0.08611818743
142	0.08605925049
143	0.08599544164
144	0.08589917037
145	0.08579392406
146	0.08570637767
147	0.08564386351
148	0.08554238761
149	0.08541342857
150	0.08532408608
151	0.08522104481
152	0.08511904859
153	0.08502709277
154	0.08490581601
155	0.08477377124
156	0.08472405044
157	0.08464560477
158	0.08455607299
159	0.08447368179
160	0.08439475842
161	0.08432241776
162	0.08424834162
163	0.08419200627
164	0.08412681566
165	0.08402009004
166	0.08394496012
167	0.0838893211
168	0.08381796664
169	0.08370512221
170	0.08361605499
171	0.08352366767
172	0.08347506392
173	0.08337055797
174	0.08329814811
175	0.08324415332
176	0.08317218286
177	0.08311724417
178	0.08301854278
179	0.08293079445
180	0.08284999481
181	0.08279238943
182	0.08273492494
183	0.08268343011
184	0.08263431712
185	0.08257615319
186	0.08253414656
187	0.08248392127
188	0.08237479066
189	0.08225391219
190	0.08221861388
191	0.08212057788
192	0.08204933746
193	0.08198510335
194	0.08189723508
195	0.08181918364
196	0.08168630889
197	0.08161968745
198	0.08157945167
199	0.08153242743
200	0.08143234613
201	0.0813724136
202	0.08132196109
203	0.08124935552
204	0.08114185381
205	0.08107326041
206	0.0809987134
207	0.08094841566
208	0.08089620377
209	0.08084013633
210	0.08081158054
211	0.08074864868
212	0.0806837715
213	0.08062450853
214	0.0806063033
215	0.08055977335
216	0.08050419029
217	0.0804675274
218	0.08039996393
219	0.08037178956
220	0.08030533247
221	0.08026315693
222	0.08020316794
223	0.08014809355
224	0.08008472124
225	0.08000697061
226	0.07995530946
227	0.07991434636
228	0.07984362104
229	0.07979133653
230	0.07975819096
231	0.07963784754
232	0.07958241187
233	0.07952072532
234	0.07948148363
235	0.07944713606
236	0.07934633248
237	0.07931528231
238	0.07926124877
239	0.07921406523
240	0.07915881315
241	0.07912926842
242	0.07900861197
243	0.07896317139
244	0.07893237811
245	0.07884840942
246	0.07877182143
247	0.07869654507
248	0.07864760559
249	0.07858523678
250	0.07850897348
251	0.07846961891
252	0.07843374477
253	0.07835029746
254	0.07832072451
255	0.07823870011
256	0.07821128349
257	0.07815163436
258	0.07810004908
259	0.07802276145
260	0.0779643092
261	0.07785713076
262	0.07782882725
263	0.07775841034
264	0.07767584768
265	0.07761862201
266	0.07757355953
267	0.07752053495
268	0.07748751767
269	0.07741343262
270	0.07735426955
271	0.07728458853
272	0.07726903637
273	0.07721577481
274	0.07717256809
275	0.07713681491
276	0.07710666308
277	0.07705397005
278	0.07704576528
279	0.07701334082
280	0.07697519991
281	0.07696461119
282	0.07690591227
283	0.07684228104
284	0.07682372379
285	0.07672830504
286	0.07669460983
287	0.07666486476
288	0.07661357838
289	0.07654160571
290	0.07644860455
291	0.076385775
292	0.07632168588
293	0.07630631931
294	0.07625773883
295	0.07621847958
296	0.07617941241
297	0.0761515555
298	0.07610907421
299	0.07607963494
300	0.07603596707
301	0.07599493388
302	0.07592396065
303	0.07586358701
304	0.07580436357
305	0.07573451173
306	0.07569774296
307	0.07562848787
308	0.07559162225
309	0.07553822345
310	0.07544621543
311	0.07537689169
312	0.07536485236
313	0.07533675521
314	0.07529780436
315	0.07526297674
316	0.07520793642
317	0.07513930618
318	0.07510190454
319	0.07506957362
320	0.07504386307
321	0.07500279164
322	0.07495355031
323	0.07492760315
324	0.07489822735
325	0.07486209608
326	0.07483326583
327	0.07478757377
328	0.07475898556
329	0.07471305557
330	0.07468150247
331	0.0746282884
332	0.07454282187
333	0.07452218342
334	0.0744970431
335	0.07446552762
336	0.07440326356
337	0.07435741246
338	0.07431165843
339	0.07423799607
340	0.07419822958
341	0.07417029197
342	0.07414210296
343	0.07412636557
344	0.07407329515
345	0.07400467202
346	0.07399329183
347	0.07393987692
348	0.07391074183
349	0.07388063338
350	0.07385530314
351	0.07383433822
352	0.07380172622
353	0.07375484058
354	0.07372298019
355	0.07367291035
356	0.07362663883
357	0.07359171409
358	0.07351969584
359	0.0734739136
360	0.0734225802
361	0.07340184534
362	0.07336337918
363	0.0733297663
364	0.07329141023
365	0.07324850221
366	0.07320225172
367	0.0731866923
368	0.07315596609
369	0.07310910249
370	0.07307447128
371	0.07305119874
372	0.07301415835
373	0.07297066078
374	0.07292912031
375	0.07291499711
376	0.07289507469
377	0.07285735161
378	0.07282355571
379	0.07279265915
380	0.07276384449
381	0.07272945437
382	0.0727001704
383	0.07267839675
384	0.07265463317
385	0.07263085947
386	0.07261149084
387	0.07258287215
388	0.0725687847
389	0.07255449082
390	0.07251817479
391	0.07248882464
392	0.07243357678
393	0.07239227569
394	0.07236324611
395	0.07233278239
396	0.07230127087
397	0.07228550589
398	0.07225918189
399	0.07223286433
400	0.0722003725
401	0.07217509556
402	0.07212238363
403	0.07209528229
404	0.07207222407
405	0.07205955073
406	0.07203579889
407	0.07200377962
408	0.07197703973
409	0.07194839687
410	0.07190450023
411	0.0718909018
412	0.0718683859
413	0.07184550567
414	0.07181878149
415	0.07179116429
416	0.07177120836
417	0.07172846049
418	0.07170206105
419	0.07166411526
420	0.07165314748
421	0.07162231458
422	0.07159250196
423	0.07156350745
424	0.07155077797
425	0.07150428179
426	0.07147040547
427	0.07143414825
428	0.07136701825
429	0.07133155512
430	0.07132034674
431	0.07126964702
432	0.0712078913
433	0.07117845501
434	0.07113952393
435	0.07108832082
436	0.07104760205
437	0.07100984562
438	0.07097775219
439	0.07094309111
440	0.07093317145
441	0.070896044
442	0.07086771426
443	0.07084289772
444	0.07079779476
445	0.07076749809
446	0.07075993696
447	0.07073122959
448	0.07070356793
449	0.07064196244
450	0.07060160053
451	0.07056691795
452	0.07055020869
453	0.07052507063
454	0.07050015786
455	0.07044804301
456	0.07043146165
457	0.07039824477
458	0.07035827832
459	0.07031916109
460	0.07030610457
461	0.07029477667
462	0.07026103994
463	0.0702209109
464	0.07017009256
465	0.07013233223
466	0.07010999452
467	0.0700460007
468	0.07003733853
469	0.07001152066
470	0.06999517867
471	0.06998201595
472	0.06994764667
473	0.06993594183
474	0.06990433717
475	0.06988798331
476	0.06986067569
477	0.06982698915
478	0.06977456934
479	0.06975163157
480	0.0697276137
481	0.06968197939
482	0.06964633268
483	0.06960770775
484	0.06958343961
485	0.0695467242
486	0.06951618419
487	0.06950445872
488	0.06948172082
489	0.06947114253
490	0.06944963882
491	0.06943902006
492	0.06940993255
493	0.06938551913
494	0.06936521253
495	0.06934447576
496	0.06932079159
497	0.06930307941
498	0.06929287773
499	0.0692650338
500	0.06923144223
501	0.06921996096
502	0.06920663129
503	0.06917829416
504	0.06915491222
505	0.06912393199
506	0.06911726178
507	0.06907129059
508	0.06904550979
509	0.06901209716
510	0.06898472968
511	0.06898429807
512	0.06896849351
513	0.06893717866
514	0.06890619209
515	0.06887001133
516	0.06884048918
517	0.06877806766
518	0.06876145201
519	0.06875069494
520	0.06872370239
521	0.06869944578
522	0.06868009469
523	0.06865578953
524	0.06863269829
525	0.06861545057
526	0.06858923241
527	0.06857702262
528	0.0685648633
529	0.0685592977
530	0.06854082613
531	0.06853339053
532	0.06848756667
533	0.06846133012
534	0.0684256251
535	0.06841219301
536	0.06838519785
537	0.06832921611
